                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.8611,                 1.9506,                0.96252,                0.72193,                0.61187,                0.70458,                0.59637,                0.69547,                0.83018,                0.86363,               0.070149,              0.0033167,              0.0033167
                      1,                0.77144,                0.91066,                0.92444,                0.74084,                 0.7239,                0.79928,                0.65286,                0.74071,                0.73084,                0.87931,               0.039886,              0.0063867,              0.0063867
                      2,                0.80916,                0.85218,                0.93067,                0.76947,                0.75052,                0.80824,                0.64877,                0.77973,                0.75005,                0.88646,              0.0093586,              0.0091927,              0.0091927
                      3,                0.83979,                0.84223,                0.94512,                0.83334,                0.73897,                0.82845,                0.67212,                0.76964,                0.70009,                 0.8939,               0.008812,               0.008812,               0.008812
                      4,                0.81401,                0.79443,                0.93563,                0.83793,                0.74713,                0.83701,                 0.6832,                0.77083,                0.71422,                0.88794,               0.008812,               0.008812,               0.008812
                      5,                0.80802,                 0.7403,                0.93118,                0.84039,                0.77832,                0.85933,                0.71336,                0.73248,                0.63898,                0.88009,               0.008416,               0.008416,               0.008416
                      6,                0.78016,                0.70436,                0.92668,                0.86148,                0.74946,                0.85502,                0.69314,                0.74934,                0.64792,                0.88132,                0.00802,                0.00802,                0.00802
                      7,                 0.7669,                0.66871,                0.91971,                0.89664,                0.81597,                0.89068,                0.73828,                0.70246,                0.57024,                 0.8684,               0.007624,               0.007624,               0.007624
                      8,                0.74584,                 0.6477,                 0.9167,                0.89547,                0.83061,                0.90412,                0.75776,                0.68649,                0.54206,                0.86392,               0.007228,               0.007228,               0.007228
                      9,                0.73608,                0.61531,                0.91236,                0.89716,                0.84115,                0.90594,                0.76306,                0.67232,                0.53049,                0.86117,               0.006832,               0.006832,               0.006832
                     10,                0.72449,                  0.594,                0.90437,                0.89244,                 0.8386,                0.90414,                0.75758,                0.68421,                0.53428,                0.86326,               0.006436,               0.006436,               0.006436
                     11,                0.70182,                0.57634,                0.89947,                0.89164,                0.84144,                0.90084,                0.75678,                0.68367,                0.52781,                0.86423,                0.00604,                0.00604,                0.00604
                     12,                0.68802,                0.55367,                0.89593,                0.91326,                0.84216,                0.91206,                0.77685,                0.64348,                0.50165,                0.85051,               0.005644,               0.005644,               0.005644
                     13,                0.67458,                0.54528,                0.89042,                0.91702,                0.87865,                0.93433,                0.79703,                0.63238,                 0.4648,                0.84882,               0.005248,               0.005248,               0.005248
                     14,                0.66602,                0.52784,                0.88818,                0.91213,                0.87477,                0.92936,                0.79526,                0.63349,                0.46218,                0.84423,               0.004852,               0.004852,               0.004852
                     15,                0.64871,                0.51053,                0.88264,                 0.9056,                 0.8745,                0.92655,                0.80284,                0.61781,                0.45912,                0.84413,               0.004456,               0.004456,               0.004456
                     16,                0.64588,                0.50357,                0.88107,                0.91573,                0.88322,                0.93407,                0.81318,                0.60248,                0.44565,                0.83997,                0.00406,                0.00406,                0.00406
                     17,                0.63493,                0.48043,                0.87547,                0.91234,                0.89515,                0.93628,                0.81827,                0.59525,                0.43041,                0.83648,               0.003664,               0.003664,               0.003664
                     18,                0.62014,                 0.4701,                0.87269,                0.91749,                0.89304,                0.93841,                0.81873,                0.58853,                0.41887,                0.83403,               0.003268,               0.003268,               0.003268
                     19,                0.60627,                0.45193,                0.86498,                0.92664,                0.88983,                0.94066,                0.82518,                0.57679,                0.40841,                0.83191,               0.002872,               0.002872,               0.002872
                     20,                 0.5952,                0.43736,                0.86478,                0.94145,                0.87643,                0.94109,                0.82564,                0.57068,                0.40369,                0.82717,               0.002476,               0.002476,               0.002476
                     21,                0.59167,                0.43179,                0.86501,                0.94468,                0.89161,                0.94478,                0.83517,                0.56591,                0.39488,                0.82752,                0.00208,                0.00208,                0.00208
                     22,                0.57995,                0.42014,                0.86189,                0.93362,                 0.9107,                0.94291,                0.83331,                 0.5615,                0.38969,                0.82674,               0.001684,               0.001684,               0.001684
                     23,                0.56882,                 0.4047,                0.85659,                0.94614,                0.89728,                 0.9427,                0.83407,                0.55385,                0.38395,                0.82263,               0.001288,               0.001288,               0.001288
                     24,                0.55452,                0.39224,                0.85436,                0.93543,                0.91557,                0.94638,                0.84404,                0.54732,                0.37359,                0.82072,               0.000892,               0.000892,               0.000892
