               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.064302,            0.039904,            0.021404,             0.48434,             0.30388,             0.23207,             0.09851,            0.044738,            0.024703,            0.011819,             0.07002,           0.0033311,           0.0033311
                   1,             0.05155,            0.034502,            0.011837,             0.59606,             0.34067,             0.32585,             0.14931,            0.040931,            0.023887,           0.0091636,            0.039756,           0.0064005,           0.0064005
                   2,             0.04776,            0.033698,           0.0096279,             0.63901,             0.39933,             0.37909,             0.17647,            0.039873,            0.023672,           0.0076191,           0.0092283,           0.0092059,           0.0092059
                   3,            0.044591,            0.033524,           0.0082971,             0.76786,             0.41548,             0.45447,              0.2185,            0.038669,            0.023162,           0.0060195,            0.008812,            0.008812,            0.008812
                   4,            0.042431,            0.032969,           0.0071283,              0.8009,             0.44171,             0.49087,             0.23834,            0.037385,            0.022811,           0.0050814,            0.008812,            0.008812,            0.008812
                   5,            0.041258,             0.03237,           0.0063349,             0.82714,             0.45716,             0.52467,             0.25811,            0.037138,            0.022472,           0.0045732,            0.008416,            0.008416,            0.008416
                   6,            0.040368,            0.031788,             0.00576,             0.84466,             0.47438,             0.54647,             0.27388,            0.036414,            0.022201,           0.0040945,             0.00802,             0.00802,             0.00802
                   7,            0.039736,            0.031747,           0.0055328,             0.85679,             0.48205,             0.56851,             0.29218,            0.035835,            0.022012,           0.0038013,            0.007624,            0.007624,            0.007624
                   8,            0.039112,            0.031401,           0.0051362,             0.85144,             0.48697,             0.58318,             0.30122,            0.035481,            0.021774,           0.0034309,            0.007228,            0.007228,            0.007228
                   9,            0.038567,             0.03094,           0.0048652,             0.76643,             0.55075,              0.5962,             0.30997,            0.035105,            0.021571,           0.0032066,            0.006832,            0.006832,            0.006832
                  10,             0.03818,            0.030616,           0.0046905,             0.83221,             0.53423,             0.60757,              0.3167,            0.034678,            0.021371,           0.0031018,            0.006436,            0.006436,            0.006436
                  11,            0.037768,            0.030706,           0.0044852,             0.84036,             0.55351,             0.63145,             0.32696,            0.034432,            0.021242,           0.0028903,             0.00604,             0.00604,             0.00604
                  12,            0.037263,            0.030165,           0.0042387,             0.84069,             0.56392,             0.65191,             0.34274,            0.034086,            0.021024,           0.0028246,            0.005644,            0.005644,            0.005644
                  13,            0.037028,              0.0302,           0.0040996,             0.85183,             0.56595,             0.65802,             0.34623,            0.033806,            0.020878,           0.0026743,            0.005248,            0.005248,            0.005248
                  14,            0.036545,            0.029867,           0.0039425,             0.85573,             0.57884,             0.67015,             0.35528,            0.033638,            0.020775,            0.002594,            0.004852,            0.004852,            0.004852
                  15,            0.036242,            0.029627,           0.0038284,             0.85016,             0.58309,             0.68532,             0.36725,            0.033404,             0.02061,           0.0024931,            0.004456,            0.004456,            0.004456
                  16,            0.035901,            0.029322,           0.0036919,             0.80318,             0.63455,             0.69688,             0.37377,            0.033146,            0.020441,           0.0023843,             0.00406,             0.00406,             0.00406
                  17,            0.035562,             0.02924,           0.0035554,             0.84381,             0.63962,             0.70655,              0.3806,             0.03287,            0.020349,           0.0023144,            0.003664,            0.003664,            0.003664
                  18,             0.03521,            0.029015,           0.0034075,             0.83274,             0.64941,             0.70994,             0.38272,            0.032624,            0.020202,           0.0022547,            0.003268,            0.003268,            0.003268
                  19,            0.034836,            0.028699,           0.0033258,             0.84092,             0.63795,             0.71199,             0.39043,            0.032497,            0.020107,           0.0021817,            0.002872,            0.002872,            0.002872
                  20,            0.034596,            0.028424,           0.0031959,             0.83037,             0.65649,             0.71706,             0.39369,            0.032331,            0.020031,           0.0020917,            0.002476,            0.002476,            0.002476
                  21,            0.034287,            0.028207,           0.0031123,             0.85114,              0.6537,             0.72279,              0.3979,            0.032156,            0.019925,            0.002068,             0.00208,             0.00208,             0.00208
                  22,            0.033941,            0.028157,           0.0030164,              0.8479,              0.6676,             0.72678,             0.40135,            0.032005,            0.019821,            0.002088,            0.001684,            0.001684,            0.001684
                  23,            0.033587,             0.02784,             0.00295,             0.85952,             0.66316,             0.73066,              0.4045,            0.031898,            0.019769,           0.0020281,            0.001288,            0.001288,            0.001288
                  24,            0.033462,            0.027813,           0.0028657,              0.8443,             0.67935,              0.7345,             0.40712,            0.031837,             0.01972,           0.0019826,            0.000892,            0.000892,            0.000892
